trade_date,target_slot,generated_at,actual_kst_time,schedule_lag_minutes,base_time,base_time_source,source_time,market_session,category,foreigner_net_buy,individual_net_buy,institution_net_buy,unit,source,source_url,collected_at,raw_hash
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,KOSPI,-31398,22428,8553,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,KOSDAQ,1122,316,-1702,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,KOSPI200_FUTURES,1042,-3804,2883,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,KOSPI200_CALL_OPTIONS,-55,7,50,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,KOSPI200_PUT_OPTIONS,34,-28,-2,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,MINI_FUTURES,416,-559,40,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,MINI_CALL_OPTIONS,5,-3,-1,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
2026-05-18,1330,2026-05-18T13:49:15.091977+09:00,13:49,19,13:49,collected_at_fallback,13:49,REGULAR,MINI_PUT_OPTIONS,0,0,0,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-18T13:49:15.091977+09:00,90448bfc0b2a39a1f4ba527d53152f12bbbba1bd0d56c0b7f09c9550a32d1ee9
