trade_date,target_slot,generated_at,actual_kst_time,schedule_lag_minutes,base_time,base_time_source,source_time,market_session,market,program_type,sell_value,buy_value,net_buy_value,sell_volume,buy_volume,net_buy_volume,unit_value,unit_volume,source,source_url,collected_at,raw_hash
2026-04-02,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,315263,220225,-95038,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-02,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,6405760,6212031,-193729,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-02,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,6721022,6432256,-288767,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-17,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,392921,389833,-3088,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-17,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,7319421,5608844,-1710577,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-17,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,7712342,5998677,-1713665,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-16,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,628825,790252,161427,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-16,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,7151658,7287614,135956,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-16,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,7780484,8077867,297383,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-15,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,498976,678024,179048,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-15,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,9123521,9278306,154785,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-15,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,9622496,9956330,333834,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-14,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,ARBITRAGE,329618,496419,166800,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-14,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,NON_ARBITRAGE,7164650,7782457,617807,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
2026-04-14,1030,2026-05-15T10:49:22.541888+09:00,10:49,19,10:49,collected_at_fallback,10:49,REGULAR,KOSPI,TOTAL,7494268,8278875,784607,,,,백만원,,HANKYUNG,https://markets.hankyung.com/investment/program-trading,2026-05-15T10:49:22.541888+09:00,17d77dcf2a4a2a4713c614408ff2012a81632fe960bbf5177facb6466a6b027e
