trade_date,target_slot,generated_at,actual_kst_time,schedule_lag_minutes,base_time,base_time_source,source_time,market_session,category,foreigner_net_buy,individual_net_buy,institution_net_buy,unit,source,source_url,collected_at,raw_hash
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,KOSPI,-24817,10798,13300,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,KOSDAQ,156,648,-674,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,KOSPI200_FUTURES,-5208,-1423,6986,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,KOSPI200_CALL_OPTIONS,-66,-3,65,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,KOSPI200_PUT_OPTIONS,43,-16,-28,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,MINI_FUTURES,-273,714,-345,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,MINI_CALL_OPTIONS,-1,-2,3,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
2026-05-20,1330,2026-05-20T13:43:56.727254+09:00,13:43,13,13:43,collected_at_fallback,13:43,REGULAR,MINI_PUT_OPTIONS,15,-2,-13,억원,KBSEC,https://m.kbsec.com/go.able?linkcd=m05040000,2026-05-20T13:43:56.727254+09:00,3a82b562ffab003dcc5ba0a03081e56ec0843f2f6b613bf883b9fd75024ef01f
